,School_Name,District,Latitude,Longitude,Address,Student_Attendance_Rate,Average_ELA_Proficiency,Average_Math_Proficiency,avg_math_ela,borough
19,SCHOOL FOR GLOBAL LEADERS,1,40.720185,-73.985957,"145 STANTON ST NEW YORK, NY 10002",0.92,2.34,2.48,2.41,1
20,EAST SIDE COMMUNITY SCHOOL,1,40.729153,-73.982474,"420 E 12TH ST NEW YORK, NY 10009",0.97,2.82,2.9,2.86,1
21,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",1,40.7195,-73.979239,"111 COLUMBIA ST NEW YORK, NY 10002",0.97,3.83,4.03,3.93,1
22,TOMPKINS SQUARE MIDDLE SCHOOL,1,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",0.96,2.92,3.01,2.965,1
23,P.S. 001 ALFRED E. SMITH,2,40.712561,-73.997474,"8 HENRY ST NEW YORK, NY 10038",0.95,2.59,3.14,2.865,1
24,P.S. 002 MEYER LONDON,2,40.712943,-73.991557,"122 HENRY ST NEW YORK, NY 10002",0.98,2.75,3.24,2.995,1
25,P.S. 003 CHARRETTE SCHOOL,2,40.732632,-74.005947,"490 HUDSON ST NEW YORK, NY 10014",0.95,3.09,3.41,3.25,1
26,P.S. 006 LILLIE D. BLAKE,2,40.777703,-73.960428,"45 E 81ST ST NEW YORK, NY 10028",0.96,3.4,3.71,3.5549999999999997,1
27,P.S. 011 WILLIAM T. HARRIS,2,40.744549,-74.000737,"320 W 21ST ST NEW YORK, NY 10011",0.96,3.12,3.35,3.2350000000000003,1
28,P.S. 033 CHELSEA PREP,2,40.748945,-74.000243,"281 9TH AVE NEW YORK, NY 10001",0.96,3.04,3.4,3.2199999999999998,1
29,P.S. 040 AUGUSTUS SAINT-GAUDENS,2,40.735118,-73.981697,"319 E 19TH ST NEW YORK, NY 10003",0.96,3.39,3.65,3.52,1
30,P.S. 041 GREENWICH VILLAGE,2,40.735526,-73.999113,"116 W 11TH ST NEW YORK, NY 10011",0.97,3.44,3.7,3.5700000000000003,1
31,P.S. 042 BENJAMIN ALTMAN,2,40.716136,-73.990841,"71 HESTER ST NEW YORK, NY 10002",0.98,2.94,3.55,3.245,1
32,P.S. 051 ELIAS HOWE,2,40.761593,-73.99559,"525 W 44TH ST NEW YORK, NY 10036",0.94,2.55,2.83,2.69,1
33,P.S. 059 BEEKMAN HILL INTERNATIONAL,2,40.759213,-73.966183,"231-249 E 56TH ST NEW YORK, NY 10019",0.96,3.24,3.62,3.43,1
34,P.S. 77 LOWER LAB SCHOOL,2,40.785014,-73.950031,"1700 3RD AVE NEW YORK, NY 10128",0.97,3.73,3.91,3.8200000000000003,1
35,P.S. 89,2,40.716867,-74.013623,"201 WARREN ST NEW YORK, NY 10282",0.96,3.23,3.71,3.4699999999999998,1
36,J.H.S. 104 SIMON BARUCH,2,40.735735,-73.980611,"330 E 21ST ST NEW YORK, NY 10010",0.96,3.05,3.25,3.15,1
37,P.S. 111 ADOLPH S. OCHS,2,40.765834,-73.989602,"440 W 53RD ST NEW YORK, NY 10019",0.92,2.39,2.47,2.43,1
38,EAST SIDE MIDDLE SCHOOL,2,40.780646,-73.947544,"331 E 91ST ST NEW YORK, NY 10028",0.98,3.66,3.94,3.8,1
39,P.S. 116 MARY LINDLEY MURRAY,2,40.744425,-73.977634,"210 E 33RD ST NEW YORK, NY 10016",0.95,3.07,3.17,3.12,1
40,P.S. 124 YUNG WING,2,40.714426,-73.995526,"40 DIVISION ST NEW YORK, NY 10002",0.98,3.1,3.55,3.325,1
41,P.S. 126 JACOB AUGUST RIIS,2,40.710448,-73.997001,"80 CATHERINE ST NEW YORK, NY 10038",0.96,2.93,3.29,3.1100000000000003,1
42,P.S. 130 HERNANDO DE SOTO,2,40.718819,-73.998263,"143 BAXTER ST NEW YORK, NY 10013",0.99,3.09,3.61,3.3499999999999996,1
43,M.S. 131,2,40.716213,-73.993555,"100 HESTER ST NEW YORK, NY 10002",0.97,2.49,3.02,2.755,1
44,P.S. 150,2,40.718083,-74.010942,"334 GREENWICH ST NEW YORK, NY 10013",0.95,3.37,3.43,3.4000000000000004,1
45,YORKVILLE COMMUNITY SCHOOL,2,40.777924,-73.947316,"421 E 88TH ST NEW YORK, NY 10128",0.94,2.83,3.2,3.015,1
46,P.S. 158 BAYARD TAYLOR,2,40.770203,-73.95073,"1458 YORK AVE NEW YORK, NY 10021",0.96,3.49,3.74,3.615,1
47,J.H.S. 167 ROBERT F. WAGNER,2,40.771827,-73.95794,"220 E 76TH ST NEW YORK, NY 10021",0.96,3.08,3.34,3.21,1
48,YORKVILLE EAST MIDDLE SCHOOL,2,40.770203,-73.95073,"1458 YORK AVE NEW YORK, NY 10075",0.96,3.13,3.59,3.36,1
49,P.S. 183 ROBERT L. STEVENSON,2,40.763762,-73.957759,"419 E 66TH ST NEW YORK, NY 10021",0.96,3.26,3.39,3.325,1
50,P.S. 198 ISADOR E. IDA STRAUS,2,40.785014,-73.950031,"1700 3RD AVE NEW YORK, NY 10128",0.94,2.73,2.97,2.85,1
51,P.S. 212 MIDTOWN WEST,2,40.761329,-73.988669,"328 W 48TH ST NEW YORK, NY 10036",0.96,3.14,3.45,3.295,1
52,P.S./I.S. 217 ROOSEVELT ISLAND,2,40.763969,-73.948468,"645 MAIN ST ROOSEVELT ISLAND, NY 10044",0.95,2.9,3.01,2.955,1
53,ELLA BAKER SCHOOL,2,40.765368,-73.959696,"317 E 67TH ST NEW YORK, NY 10021",0.92,2.71,2.75,2.73,1
54,P.S. 234 INDEPENDENCE SCHOOL,2,40.716096,-74.011765,"292 GREENWICH ST NEW YORK, NY 10007",0.96,3.25,3.55,3.4,1
55,M.S. 255 SALK SCHOOL OF SCIENCE,2,40.735118,-73.981697,"319 E 19TH ST NEW YORK, NY 10003",0.97,3.75,3.63,3.69,1
56,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,2,40.736114,-73.992352,"10 E 15TH ST NEW YORK, NY 10003",0.97,3.37,3.36,3.365,1
57,"EAST SIDE ELEMENTARY SCHOOL, PS 267",2,40.763854,-73.963813,"213 E 63RD ST NEW YORK, NY 10065",0.96,3.13,3.32,3.2249999999999996,1
58,BATTERY PARK CITY SCHOOL,2,40.706563,-74.017528,"55 BATTERY PL NEW YORK, NY 10011",0.96,3.16,3.32,3.24,1
59,I.S. 289,2,40.716867,-74.013623,"201 WARREN ST NEW YORK, NY 10282",0.97,3.18,3.26,3.2199999999999998,1
60,P.S. 290 MANHATTAN NEW SCHOOL,2,40.775137,-73.952812,"311 E 82ND ST NEW YORK, NY 10028",0.96,3.37,3.75,3.56,1
61,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,2,40.742571,-74.002371,"333 W 17TH ST NEW YORK, NY 10011",0.98,3.62,3.94,3.7800000000000002,1
62,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,2,40.738621,-73.981534,"223 E 23RD ST NEW YORK, NY 10010",0.92,2.32,2.23,2.275,1
63,SPRUCE STREET SCHOOL,2,40.711057,-74.005361,"12 SPRUCE ST NEW YORK, NY 10018",0.96,3.29,3.58,3.435,1
64,INSTITUTE FOR COLLABORATIVE EDUCATION,2,40.732676,-73.982576,"345 E 15TH ST NEW YORK, NY 10003",0.96,3.28,2.95,3.115,1
65,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2,40.761329,-73.988669,"328 W 48TH ST NEW YORK, NY 10036",0.96,3.44,3.38,3.41,1
66,SCHOOL OF THE FUTURE HIGH SCHOOL,2,40.739095,-73.985349,"127 E 22ND ST NEW YORK, NY 10010",0.97,3.05,3.21,3.13,1
67,QUEST TO LEARN,2,40.743368,-74.002547,"351 W 18TH ST NEW YORK, NY 10011",0.95,2.94,2.76,2.8499999999999996,1
68,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",2,40.73854,-73.989485,"890 BROADWAY NEW YORK, NY 10003",0.96,3.21,3.65,3.4299999999999997,1
69,LIFE SCIENCES SECONDARY SCHOOL,2,40.783283,-73.945937,"320 E 96TH ST NEW YORK, NY 10128",0.9,2.24,1.95,2.095,1
70,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,2,40.705442,-74.012888,"26 BROADWAY-6TH FL NEW YORK, NY 10004",0.96,2.77,2.88,2.825,1
71,CITY KNOLL MIDDLE SCHOOL,2,40.753389,-73.997896,"425 W 33RD ST NEW YORK, NY 10001",0.95,2.7,2.58,2.64,1
72,P.S. 009 SARAH ANDERSON,3,40.785101,-73.973867,"100 W 84TH ST NEW YORK, NY 10024",0.96,3.38,3.66,3.52,1
73,J.H.S. 054 BOOKER T. WASHINGTON,3,40.800512,-73.962802,"103 W 107TH ST NEW YORK, NY 10025",0.96,3.46,3.7,3.58,1
74,P.S. 075 EMILY DICKINSON,3,40.79511,-73.973988,"735 WEST END AVE NEW YORK, NY 10025",0.94,2.63,2.83,2.73,1
75,P.S. 076 A. PHILIP RANDOLPH,3,40.806541,-73.951368,"220 W 121ST ST NEW YORK, NY 10027",0.9,2.39,2.24,2.3150000000000004,1
76,P.S. 084 LILLIAN WEBER,3,40.789382,-73.9681,"32 W 92ND ST NEW YORK, NY 10025",0.95,2.76,3.0,2.88,1
77,P.S. 087 WILLIAM SHERMAN,3,40.781788,-73.978008,"160 W 78TH ST NEW YORK, NY 10024",0.96,3.38,3.59,3.485,1
78,"P.S. 145, THE BLOOMINGDALE SCHOOL",3,40.79909,-73.965359,"150 W 105TH ST NEW YORK, NY 10025",0.91,2.12,2.16,2.14,1
79,P.S. 149 SOJOURNER TRUTH,3,40.802666,-73.948256,"41 W 117TH ST NEW YORK, NY 10026",0.91,2.1,2.03,2.065,1
80,P.S. 163 ALFRED E. SMITH,3,40.794945,-73.968535,"163 W 97TH ST NEW YORK, NY 10025",0.95,2.99,3.3,3.145,1
81,P.S. 165 ROBERT E. SIMON,3,40.802678,-73.96595,"234 W 109TH ST NEW YORK, NY 10025",0.91,2.37,2.41,2.39,1
82,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,3,40.788883,-73.972455,"132 W 89TH ST NEW YORK, NY 10024",0.96,3.3,3.54,3.42,1
83,P.S. 180 HUGO NEWMAN,3,40.807609,-73.955839,"370 W 120TH ST NEW YORK, NY 10027",0.94,2.48,2.44,2.46,1
84,P.S. 191 AMSTERDAM,3,40.771743,-73.987572,"210 W 61ST ST NEW YORK, NY 10023",0.91,2.23,2.1,2.165,1
85,P.S. 199 JESSIE ISADOR STRAUS,3,40.777766,-73.984736,"270 W 70TH ST NEW YORK, NY 10023",0.96,3.36,3.68,3.52,1
86,P.S. 208 ALAIN L. LOCKE,3,40.798341,-73.950453,"21 W 111TH ST NEW YORK, NY 10026",0.93,2.25,2.24,2.245,1
87,STEM INSTITUTE OF MANHATTAN,3,40.801651,-73.955295,"240 W 113TH ST NEW YORK, NY 10026",0.91,1.97,1.93,1.95,1
88,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,3,40.806174,-73.948335,"134 W 122ND ST NEW YORK, NY 10027",0.9,2.18,2.52,2.35,1
89,M.S. 243 CENTER SCHOOL,3,40.785101,-73.973867,"100 W 84TH ST-RM 310 NEW YORK, NY 10024",0.98,3.61,3.57,3.59,1
90,M.S. M245 THE COMPUTER SCHOOL,3,40.781081,-73.978085,"100 W 77TH ST NEW YORK, NY 10024",0.97,3.17,3.14,3.1550000000000002,1
91,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,3,40.789382,-73.9681,"32 W 92ND ST NEW YORK, NY 10025",0.96,2.51,2.64,2.575,1
92,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,3,40.79511,-73.973988,"735 W END AVE NEW YORK, NY 10025",0.94,2.61,2.44,2.525,1
93,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,3,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025",0.88,2.27,2.1,2.185,1
94,COMMUNITY ACTION SCHOOL - MS 258,3,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025",0.94,2.41,2.5,2.455,1
95,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,3,40.791685,-73.97077,"154 W 93RD ST NEW YORK, NY 10025",0.95,3.09,3.03,3.0599999999999996,1
96,THE ANDERSON SCHOOL,3,40.781081,-73.978085,"100 W 77TH ST NEW YORK, NY 10024",0.98,3.93,4.15,4.04,1
97,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,3,40.802284,-73.95408,"215 W 114TH ST NEW YORK, NY 10026",0.93,2.04,1.99,2.015,1
98,WEST PREP ACADEMY,3,40.79909,-73.965359,"150 W 105TH ST NEW YORK, NY 10025",0.92,2.31,2.45,2.38,1
99,P.S. 452,3,40.781081,-73.978085,"100 W 77TH ST NEW YORK, NY 10024",0.96,3.28,3.37,3.325,1
100,SPECIAL MUSIC SCHOOL,3,40.775221,-73.982997,"129 W 67TH ST NEW YORK, NY 10023",0.96,3.67,3.85,3.76,1
101,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,3,40.802284,-73.95408,"215 W 114TH ST NEW YORK, NY 10026",0.88,2.32,2.22,2.27,1
102,MOTT HALL II,3,40.802678,-73.96595,"234 W 109TH ST NEW YORK, NY 10025",0.96,3.11,3.23,3.17,1
103,P.S. 007 SAMUEL STERN,4,40.800631,-73.939323,"160 E 120TH ST NEW YORK, NY 10035",0.9,2.43,2.52,2.475,1
104,TAG YOUNG SCHOLARS,4,40.79259,-73.942119,"240 E 109TH ST NEW YORK, NY 10029",0.97,3.64,3.89,3.765,1
105,RIVER EAST ELEMENTARY,4,40.796906,-73.929978,"508 E 120TH ST NEW YORK, NY 10035",0.92,2.5,2.44,2.4699999999999998,1
106,P.S. 38 ROBERTO CLEMENTE,4,40.788684,-73.944766,"232 E 103RD ST NEW YORK, NY 10029",0.88,2.14,2.12,2.13,1
107,P.S. 050 VITO MARCANTONIO,4,40.785868,-73.940587,"433 E 100TH ST NEW YORK, NY 10029",0.87,2.1,2.07,2.085,1
108,JAMES WELDON JOHNSON,4,40.797156,-73.941285,"176 E 115TH ST NEW YORK, NY 10029",0.92,2.46,2.57,2.5149999999999997,1
109,THE LEXINGTON ACADEMY,4,40.791451,-73.947448,"131 E 104TH ST NEW YORK, NY 10029",0.92,2.32,2.4,2.36,1
110,P.S. 083 LUIS MUNOZ RIVERA,4,40.79313,-73.941812,"219 E 109TH ST NEW YORK, NY 10029",0.93,2.76,2.8,2.78,1
111,P.S. 096 JOSEPH LANZETTA,4,40.799987,-73.937388,"216 E 120TH ST NEW YORK, NY 10035",0.91,2.17,2.03,2.0999999999999996,1
112,P.S. 102 JACQUES CARTIER,4,40.79495,-73.938295,"315 E 113TH ST NEW YORK, NY 10029",0.91,2.32,2.39,2.355,1
113,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,4,40.795035,-73.947872,"1615 MADISON AVE NEW YORK, NY 10029",0.91,2.29,2.31,2.3,1
114,P.S. 146 ANN M. SHORT,4,40.7897,-73.939094,"421 E 106TH ST NEW YORK, NY 10029",0.92,2.14,2.19,2.165,1
115,P.S. 155 WILLIAM PACA,4,40.797495,-73.936193,"319 E 117TH ST NEW YORK, NY 10035",0.93,2.16,2.17,2.165,1
116,P.S. 171 PATRICK HENRY,4,40.792304,-73.951449,"19 E 103RD ST NEW YORK, NY 10029",0.94,2.85,3.08,2.965,1
117,THE BILINGUAL BICULTURAL SCHOOL,4,40.79313,-73.941812,"219 E 109TH ST NEW YORK, NY 10029",0.94,2.37,2.71,2.54,1
118,P.S. 206 JOSE CELSO BARBOSA,4,40.796906,-73.929978,"508 E 120TH ST NEW YORK, NY 10035",0.93,2.36,2.54,2.45,1
119,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,4,40.785027,-73.942008,"410 E 100TH ST NEW YORK, NY 10029",0.93,2.64,2.7,2.67,1
120,ESPERANZA PREPARATORY ACADEMY,4,40.79259,-73.942119,"240 E 109TH ST NEW YORK, NY 10029",0.91,2.19,2.08,2.135,1
121,MOSAIC PREPARATORY ACADEMY,4,40.796046,-73.944549,"141 E 111TH ST NEW YORK, NY 10029",0.92,2.23,2.25,2.24,1
122,RENAISSANCE SCHOOL OF THE ARTS,4,40.797495,-73.936193,"319 E 117TH ST NEW YORK, NY 10035",0.9,2.32,2.15,2.235,1
123,GLOBAL TECHNOLOGY PREPARATORY,4,40.800631,-73.939323,"160 E 120TH ST NEW YORK, NY 10035",0.95,2.27,2.36,2.315,1
124,CENTRAL PARK EAST I,4,40.793747,-73.948572,"1573 MADISON AVE NEW YORK, NY 10029",0.95,2.67,2.58,2.625,1
125,YOUNG WOMEN'S LEADERSHIP SCHOOL,4,40.792935,-73.947168,"105 E 106TH ST NEW YORK, NY 10029",0.95,2.69,2.54,2.615,1
126,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,4,40.794167,-73.932694,"260 PLEASANT AVE NEW YORK, NY 10029",0.93,2.24,2.15,2.1950000000000003,1
127,CENTRAL PARK EAST II,4,40.792304,-73.951449,"19 E 103 ST NEW YORK, NY 10029",0.93,2.96,3.08,3.02,1
128,P.S. 030 HERNANDEZ/HUGHES,5,40.805584,-73.935484,"144-176 E 128TH ST NEW YORK, NY 10035",0.89,2.27,2.18,2.225,1
129,P.S. 036 MARGARET DOUGLAS,5,40.810705,-73.957404,"123 MORNINGSIDE DR NEW YORK, NY 10027",0.9,2.19,2.3,2.245,1
130,P.S. 046 ARTHUR TAPPAN,5,40.831496,-73.936154,"2987 FREDERICK DOUGLAS BLVD NEW YORK, NY 10039",0.9,2.19,2.19,2.19,1
131,P.S. 092 MARY MCLEOD BETHUNE,5,40.814949,-73.945808,"222 W 134TH ST NEW YORK, NY 10030",0.9,2.2,2.22,2.21,1
132,P.S. 123 MAHALIA JACKSON,5,40.820192,-73.944457,"301 W 140TH ST NEW YORK, NY 10030",0.88,2.11,2.0,2.0549999999999997,1
133,P.S. 125 RALPH BUNCHE,5,40.81064,-73.955847,"425 W 123RD ST NEW YORK, NY 10027",0.91,2.81,3.12,2.965,1
134,P.S. 129 JOHN H. FINLEY,5,40.814981,-73.952121,"425 W 130TH ST NEW YORK, NY 10027",0.92,2.38,2.29,2.335,1
135,P.S. 133 FRED R MOORE,5,40.809663,-73.939148,"2121 5TH AVE NEW YORK, NY 10037",0.91,2.21,2.19,2.2,1
136,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,5,40.817282,-73.947238,"6 EDGECOMBE AVE NEW YORK, NY 10030",0.88,2.26,2.02,2.1399999999999997,1
137,P.S. 154 HARRIET TUBMAN,5,40.810555,-73.948862,"250 W 127TH ST NEW YORK, NY 10027",0.92,2.15,2.16,2.1550000000000002,1
138,P.S. 161 PEDRO ALBIZU CAMPOS,5,40.817721,-73.952459,"499 W 133RD ST NEW YORK, NY 10027",0.91,2.28,2.38,2.33,1
139,P.S. 175 HENRY H GARNET,5,40.814259,-73.942662,"175 W 134TH ST NEW YORK, NY 10030",0.91,2.14,2.26,2.2,1
140,P.S. 194 COUNTEE CULLEN,5,40.821182,-73.940665,"244 W 144TH ST NEW YORK, NY 10030",0.9,2.0,2.02,2.01,1
141,P.S. 197 JOHN B. RUSSWURM,5,40.813298,-73.937828,"2230 5TH AVE NEW YORK, NY 10037",0.88,2.21,2.27,2.24,1
142,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,5,40.823955,-73.935802,"2589 7TH AVE NEW YORK, NY 10039",0.88,2.12,2.13,2.125,1
143,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,5,40.815745,-73.9556,"509 W 129TH ST NEW YORK, NY 10027",0.87,2.12,1.92,2.02,1
144,KAPPA IV,5,40.817282,-73.947238,"6 EDGECOMBE AVE NEW YORK, NY 10030",0.9,2.16,1.89,2.025,1
145,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,5,40.825964,-73.937942,"276 W 151ST ST NEW YORK, NY 10027",0.91,2.59,2.58,2.585,1
146,COLUMBIA SECONDARY SCHOOL,5,40.81064,-73.955847,"425 W 123RD ST NEW YORK, NY 10027",0.98,3.47,3.73,3.6,1
147,FREDERICK DOUGLASS ACADEMY,5,40.824398,-73.936545,"2581 7TH AVE NEW YORK, NY 10039",0.93,2.41,2.24,2.325,1
148,NEW DESIGN MIDDLE SCHOOL,5,40.819764,-73.95724,"625 W 133RD ST NEW YORK, NY 10031",0.91,2.08,1.94,2.01,1
149,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,5,40.815297,-73.944304,"200-214 W 135TH ST NEW YORK, NY 10030",0.96,2.47,2.27,2.37,1
150,P.S. 004 DUKE ELLINGTON,6,40.834847,-73.941204,"500 W 160TH ST NEW YORK, NY 10032",0.92,2.24,2.33,2.285,1
151,P.S. 005 ELLEN LURIE,6,40.85892,-73.922428,"3703 10TH AVE NEW YORK, NY 10034",0.93,2.11,2.28,2.195,1
152,P.S. 008 LUIS BELLIARD,6,40.839384,-73.936783,"465 W 167TH ST NEW YORK, NY 10032",0.93,2.25,2.34,2.295,1
153,P.S. 018 PARK TERRACE,6,40.871646,-73.911618,"4124 9TH AVE NEW YORK, NY 10034",0.93,2.1,2.36,2.23,1
154,P.S. 028 WRIGHT BROTHERS,6,40.831655,-73.942079,"475 W 155TH ST NEW YORK, NY 10032",0.94,2.32,2.64,2.48,1
155,P.S. 048 P.O. MICHAEL J. BUCZEK,6,40.853324,-73.933497,"4360-78 BROADWAY NEW YORK, NY 10033",0.94,2.26,2.41,2.335,1
156,J.H.S. 052 INWOOD,6,40.865914,-73.925157,"650 ACADEMY ST NEW YORK, NY 10034",0.93,2.3,2.22,2.26,1
157,P.S. 098 SHORAC KAPPOCK,6,40.867823,-73.917818,"512 W 212TH ST NEW YORK, NY 10034",0.93,2.15,2.3,2.2249999999999996,1
158,P.S. 115 ALEXANDER HUMBOLDT,6,40.846134,-73.935144,"586 W 177TH ST NEW YORK, NY 10033",0.92,2.13,2.35,2.24,1
159,P.S. 128 AUDUBON,6,40.841047,-73.938751,"560 W 169TH ST NEW YORK, NY 10032",0.91,2.2,2.39,2.295,1
160,P.S. 132 JUAN PABLO DUARTE,6,40.850543,-73.933933,"185 WADSWORTH AVE NEW YORK, NY 10033",0.95,2.22,2.25,2.2350000000000003,1
161,J.H.S. 143 ELEANOR ROOSEVELT,6,40.849099,-73.931106,"511 W 182ND ST NEW YORK, NY 10033",0.91,2.12,2.06,2.09,1
162,P.S. 152 DYCKMAN VALLEY,6,40.860052,-73.927601,"93 NAGLE AVE NEW YORK, NY 10040",0.94,2.25,2.46,2.355,1
163,P.S. 153 ADAM CLAYTON POWELL,6,40.826477,-73.947458,"1750 AMSTERDAM AVE NEW YORK, NY 10031",0.93,2.34,2.54,2.44,1
164,P.S. 173,6,40.84562,-73.939738,"306 FT WASHINGTON AVE NEW YORK, NY 10033",0.93,2.36,2.67,2.5149999999999997,1
165,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,6,40.859317,-73.928232,"12-18 ELLWOOD ST NEW YORK, NY 10040",0.95,2.69,2.86,2.775,1
166,P.S./I.S. 187 HUDSON CLIFFS,6,40.856137,-73.937295,"349 CABRINI BLVD NEW YORK, NY 10040",0.95,2.84,2.98,2.91,1
167,P.S. 189,6,40.853091,-73.927999,"2580 AMSTERDAM AVE NEW YORK, NY 10040",0.94,2.3,2.48,2.3899999999999997,1
168,P.S. 192 JACOB H. SCHIFF,6,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",0.92,2.2,2.35,2.2750000000000004,1
169,HAMILTON GRANGE MIDDLE SCHOOL,6,40.820988,-73.952995,"500 W 138TH ST NEW YORK, NY 10031",0.96,2.09,2.31,2.2,1
170,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,6,40.830009,-73.944648,"501-503 W 152ND ST NEW YORK, NY 10031",0.95,2.46,2.62,2.54,1
171,I.S. 218 SALOME URENA,6,40.86082,-73.930066,"4600 BROADWAY NEW YORK, NY 10040",0.92,2.09,2.09,2.09,1
172,THE MOTT HALL SCHOOL,6,40.816172,-73.952104,"71-111 CONVENT AVE NEW YORK, NY 10027",0.94,3.01,3.12,3.065,1
173,PAULA HEDBAVNY SCHOOL,6,40.871567,-73.912337,"421 W 219TH ST NEW YORK, NY 10034",0.95,2.76,2.86,2.8099999999999996,1
174,CITY COLLEGE ACADEMY OF THE ARTS,6,40.86082,-73.930066,"4600 BROADWAY NEW YORK, NY 10040",0.95,2.78,3.0,2.8899999999999997,1
